Date,Close,Open,High,Low,Vol.,Change %
2002-01-17,5133.4,4985.37,5135.99,4985.37,-,2.99%
2002-01-16,4984.2,5050.35,5052.81,4974.58,-,-1.54%
2002-01-15,5062.04,5059.84,5107.56,5029.48,-,-0.08%
2002-01-14,5065.84,5206.23,5206.23,5055.62,-,-2.77%
2002-01-11,5209.97,5228.09,5270.44,5188.43,-,-0.35%
2002-01-10,5228.11,5265.81,5265.81,5172.04,-,-1.14%
2002-01-09,5288.21,5228.18,5303.81,5180.32,-,0.99%
2002-01-08,5236.37,5211.23,5260.62,5185.07,-,0.08%
2002-01-07,5232.22,5327.4,5347.12,5220.99,-,-1.63%
2002-01-04,5318.73,5291.6,5352.16,5262.92,-,0.92%
2002-01-03,5270.29,5175.18,5288.23,5175.18,-,1.98%
2002-01-02,5167.88,5155.26,5195.56,5107.36,-,0.15%
2001-12-28,5160.1,5110.22,5175.57,5110.22,-,0.84%
2001-12-27,5117.13,5032.87,5117.13,5032.87,-,1.95%
2001-12-21,5019.01,4930.04,5024.81,4877.57,-,1.72%
2001-12-20,4934.14,4990.92,5026.82,4924.63,-,-1.01%
2001-12-19,4984.69,5036.03,5061.25,4948.28,-,-1.09%
2001-12-18,5039.64,5061.84,5115.79,5037.87,-,-0.56%
2001-12-17,5067.99,4913.93,5098.25,4905.28,-,3.23%
2001-12-14,4909.42,4957.1,4983.86,4901.04,-,-1.14%
2001-12-13,4966.05,5053.87,5096.82,4947.82,-,-1.91%
2001-12-12,5062.56,5149.38,5193.96,5028.16,-,-1.63%
2001-12-11,5146.45,5121.68,5169.15,5075.43,-,0.42%
2001-12-10,5124.68,5200.54,5212.95,5113.41,-,-1.43%
2001-12-07,5199.03,5277.18,5297.9,5199.03,-,-1.37%
2001-12-06,5271.29,5258.47,5341.86,5241.24,-,0.16%
2001-12-05,5262.75,5020.07,5282.01,5020.07,-,4.96%
2001-12-04,5013.99,4989.03,5040.2,4978.06,-,0.51%
2001-12-03,4988.44,4986.58,4996.43,4872.25,-,-0.03%
2001-11-30,4989.91,4954.2,5042.43,4954.2,-,1.09%
